date,Store_ID,Product_ID,Inventory_Level,Units_Sold,Units_Ordered,Price,Discount,Promotion,Competitor_Pricing,Demand
2023-10-11,S005,P0005,104,87,192,16.67,5,0,15.04,104
2022-04-15,S003,P0004,388,28,0,16.98,10,0,14.49,30
2024-01-26,S001,P0015,149,149,156,14.94,25,1,13.52,148
2023-12-07,S004,P0010,663,212,741,31.33,5,0,33.39,180
2022-01-27,S005,P0019,86,80,0,124.15,15,1,133.97,88
2023-03-14,S001,P0010,206,67,0,96.16,20,1,102.35,57
2022-07-23,S004,P0016,109,57,188,105.03,10,0,101.58,58
2023-08-07,S003,P0010,187,71,0,35.73,10,0,35.3,87
2023-10-20,S004,P0018,86,35,50,121.86,10,1,143.71,29
2022-01-30,S002,P0014,322,46,0,122.38,0,0,110.95,75
2023-11-27,S004,P0009,208,38,0,108.4,0,0,100.76,63
2023-12-11,S004,P0009,1047,117,0,137.26,10,0,161.73,192
2022-10-04,S004,P0011,283,78,0,56.8,10,0,53.64,97
2022-09-11,S002,P0003,313,83,386,94.28,0,0,86.04,130
2023-01-29,S004,P0010,498,131,549,29.6,5,0,25.21,140
2022-04-09,S005,P0014,324,100,241,189.45,0,0,167.12,99
2022-07-07,S004,P0008,119,38,0,86.11,0,0,102.42,39
2022-10-11,S002,P0015,117,55,0,54.67,10,0,48.35,48
2024-01-28,S001,P0008,41,41,118,50.82,0,0,47.13,118
2023-12-27,S002,P0018,190,135,118,28.43,10,0,30.14,136
2022-11-07,S003,P0013,678,178,665,79.48,20,1,77.0,187
2023-09-28,S003,P0005,834,47,0,19.65,10,0,19.53,70
2023-04-07,S003,P0010,228,214,235,39.93,25,1,44.28,207
2023-04-24,S003,P0019,122,56,82,44.63,20,1,44.61,86
2022-12-06,S002,P0019,1078,114,0,95.17,5,0,112.42,139
2023-07-02,S002,P0012,540,55,0,56.19,10,0,62.14,67
2023-04-14,S001,P0006,731,10,0,29.78,0,0,34.35,13
2024-01-02,S001,P0016,253,74,0,32.84,5,0,34.86,65
2023-01-29,S002,P0016,339,61,0,79.15,5,0,95.1,77
2022-03-24,S003,P0018,154,142,0,162.07,0,0,185.78,131
2022-06-08,S003,P0001,241,79,0,14.42,10,1,13.86,66
2023-07-17,S003,P0015,407,130,549,108.39,10,0,94.88,148
2022-05-03,S004,P0016,113,37,119,92.18,10,0,108.08,38
2024-01-26,S002,P0008,108,103,87,26.32,5,0,22.89,104
2023-04-15,S004,P0012,80,12,0,75.35,10,1,86.22,13
2023-03-06,S003,P0006,167,102,154,36.58,25,1,36.14,149
2023-07-28,S002,P0016,303,56,0,78.86,10,0,87.08,92
2023-04-04,S003,P0020,109,103,0,70.87,25,1,66.12,158
2022-02-28,S001,P0002,248,56,0,56.27,10,0,50.26,68
2023-06-30,S001,P0015,66,48,50,12.33,10,0,13.71,51
2024-01-02,S001,P0013,72,12,50,20.8,15,1,22.01,16
2022-06-14,S003,P0009,166,166,220,57.18,25,1,55.45,200
2022-04-19,S005,P0003,184,84,115,27.4,10,0,30.7,97
2022-04-22,S005,P0014,229,50,0,140.05,10,0,162.46,58
2022-11-05,S004,P0016,577,98,0,106.31,15,1,122.24,91
2023-11-17,S002,P0014,482,84,0,115.02,0,0,128.33,72
2022-10-24,S005,P0017,165,98,124,34.89,15,1,32.58,106
2023-08-08,S005,P0013,1457,103,0,77.77,5,0,70.48,111
2023-03-30,S003,P0019,195,64,0,54.21,5,0,52.97,93
2023-09-29,S001,P0003,564,106,0,51.47,10,0,47.99,91
2023-07-30,S003,P0015,636,208,830,111.06,10,0,122.43,176
2024-01-27,S005,P0014,391,64,0,152.9,10,1,141.37,67
2023-07-30,S001,P0001,294,86,198,70.68,5,0,75.71,106
2023-10-12,S003,P0012,229,60,0,76.7,15,1,85.68,50
2023-06-18,S002,P0018,140,71,0,26.36,5,0,23.49,79
2023-12-12,S003,P0019,120,65,80,38.5,25,1,42.91,77
2022-09-23,S003,P0001,144,144,0,18.52,5,0,18.11,125
2023-04-29,S001,P0020,374,27,0,105.3,0,0,98.65,30
2022-06-21,S003,P0001,470,139,0,18.81,10,1,17.34,149
2023-03-12,S004,P0016,386,152,360,124.66,15,1,150.13,142
2022-05-05,S001,P0007,968,66,0,24.2,5,0,27.68,106
2023-08-17,S005,P0020,102,102,106,36.47,0,0,35.9,131
2023-05-14,S004,P0017,127,108,117,105.93,5,0,105.21,121
2024-01-25,S002,P0017,428,103,0,20.09,5,0,23.31,98
2022-02-04,S001,P0002,236,69,0,66.86,0,0,72.25,102
2023-02-22,S001,P0004,182,49,0,86.06,5,0,93.63,46
2022-01-23,S004,P0002,129,129,380,26.09,5,0,29.43,205
2023-10-03,S003,P0008,476,34,0,83.96,10,0,93.08,37
2022-03-17,S005,P0005,77,77,305,16.74,10,0,17.84,140
2022-02-09,S004,P0001,552,74,0,9.05,10,0,10.61,69
2023-08-07,S001,P0019,76,76,83,128.72,0,0,124.75,98
2023-01-22,S001,P0002,223,51,0,58.06,0,0,66.84,62
2022-12-17,S005,P0007,434,114,0,69.3,20,1,83.79,114
2023-10-27,S002,P0003,480,55,0,72.88,10,0,69.33,83
2022-01-23,S001,P0003,719,151,0,69.49,0,0,79.29,174
2022-10-08,S003,P0017,436,91,341,114.08,10,0,133.35,86
2022-02-06,S004,P0018,74,74,92,176.27,0,0,157.53,85
2022-02-24,S004,P0010,615,81,0,23.73,5,0,26.73,87
2022-01-25,S005,P0015,320,67,0,49.7,10,0,42.63,112
2022-08-21,S004,P0019,128,110,91,62.08,5,0,53.83,106
2022-04-30,S005,P0003,133,38,0,25.42,0,0,23.78,34
2022-08-28,S005,P0018,68,68,131,18.16,25,1,20.17,129
2022-07-09,S001,P0013,68,45,50,24.49,10,1,28.55,41
2022-06-13,S004,P0015,154,63,0,88.45,10,0,99.13,78
2023-06-13,S002,P0013,289,168,0,26.13,10,0,23.85,172
2022-01-02,S005,P0004,166,77,109,7.79,10,0,7.23,119
2022-05-29,S005,P0004,140,112,83,7.32,5,0,8.22,98
2023-03-31,S001,P0002,52,50,51,57.08,0,0,49.06,44
2024-01-29,S005,P0016,300,67,282,36.68,0,0,39.11,109
2023-05-02,S002,P0007,161,46,0,18.76,25,1,20.59,58
2023-05-17,S002,P0010,228,31,0,65.29,10,0,57.29,30
2022-06-03,S001,P0009,175,139,121,83.34,20,1,71.75,128
2024-01-02,S003,P0013,448,57,0,54.54,25,1,48.63,82
2023-02-23,S001,P0007,173,99,0,24.87,0,0,24.6,83
2022-01-31,S002,P0014,276,156,0,141.57,0,0,164.87,135
2023-11-04,S002,P0013,331,110,378,24.49,5,0,29.43,147
2022-01-25,S003,P0007,335,54,0,12.65,15,1,11.16,58
2023-05-12,S003,P0019,120,43,0,42.54,10,0,41.08,42
2024-01-22,S004,P0017,249,187,156,111.67,10,1,122.17,177
2022-05-01,S001,P0019,103,29,0,85.54,20,1,83.25,47
2022-09-28,S002,P0019,488,64,0,88.65,5,0,84.57,99
2022-10-17,S004,P0004,204,64,0,51.18,10,0,43.78,100
2022-02-04,S001,P0016,556,179,447,44.77,15,1,40.74,186
2022-04-27,S002,P0006,102,79,126,66.69,10,0,58.44,117
2023-02-12,S004,P0003,168,45,0,104.64,20,1,122.68,57
2022-03-10,S005,P0008,202,53,0,57.34,10,0,56.6,87
2022-06-23,S001,P0002,125,80,85,62.96,10,0,57.31,101
2022-02-17,S003,P0014,157,91,0,102.63,0,0,96.27,106
2023-11-23,S003,P0019,195,102,0,52.84,10,0,47.6,101
2022-04-07,S004,P0017,173,61,0,95.44,5,0,86.83,89
2022-04-08,S003,P0019,71,53,63,46.4,10,1,52.71,78
2023-04-27,S002,P0017,162,63,145,17.11,10,1,15.14,53
2023-10-16,S004,P0006,221,62,0,31.98,10,1,28.1,75
2022-09-20,S001,P0002,83,65,100,61.03,10,0,54.94,91
2022-10-04,S005,P0016,625,113,0,36.5,5,0,31.47,108
2023-12-15,S003,P0001,434,114,0,14.37,25,1,15.95,137
2023-04-16,S005,P0004,132,129,129,7.25,25,1,6.41,156
2023-01-12,S003,P0019,141,113,130,67.87,0,0,66.64,149
2023-12-14,S002,P0015,204,113,0,59.12,20,1,66.42,118
2022-12-12,S004,P0011,394,150,525,59.84,15,1,51.78,132
2022-04-22,S005,P0013,429,126,349,80.96,0,0,86.37,124
2023-04-23,S005,P0005,281,175,270,14.68,25,1,15.92,158
2023-06-21,S005,P0001,404,112,0,11.26,10,0,10.83,95
2023-06-24,S005,P0010,511,222,700,71.69,10,0,79.01,199
2023-08-20,S002,P0011,137,137,0,101.75,15,1,91.83,157
2023-10-26,S001,P0001,68,68,0,55.83,25,1,62.26,106
2022-11-19,S002,P0007,311,63,299,26.79,5,0,30.51,92
2023-03-14,S003,P0010,240,95,0,35.47,10,1,42.49,100
2022-12-21,S005,P0015,400,146,0,43.38,25,1,38.53,127
2023-11-05,S004,P0009,389,144,546,145.68,0,0,140.59,155
2023-09-24,S002,P0014,971,87,0,113.62,10,0,107.14,83
2022-08-22,S002,P0004,414,125,0,49.82,5,0,56.84,171
2022-04-29,S001,P0015,82,39,50,12.35,10,0,12.34,38
2023-08-31,S003,P0019,161,76,141,53.53,10,0,62.08,122
2023-01-15,S002,P0012,704,70,0,65.16,10,1,65.14,95
2022-01-10,S003,P0004,305,49,0,19.53,5,0,20.91,64
2024-01-12,S003,P0010,122,107,112,39.43,5,0,44.07,116
2022-05-23,S005,P0018,120,82,106,22.61,0,0,25.89,106
2023-07-21,S005,P0009,502,178,405,109.69,5,0,127.74,160
2023-07-28,S005,P0002,151,113,0,43.55,10,1,48.34,145
2023-08-11,S005,P0004,167,99,116,7.4,10,0,7.97,118
2022-11-08,S005,P0020,162,84,98,29.63,5,0,32.04,98
2022-09-11,S001,P0009,183,93,106,89.67,5,0,105.26,113
2023-04-29,S002,P0007,246,21,0,20.97,10,0,19.72,28
2023-03-25,S002,P0002,438,125,0,37.2,0,0,42.4,132
2023-03-04,S004,P0006,289,79,0,33.57,10,0,38.3,104
2022-09-01,S001,P0009,121,73,56,71.72,15,1,63.12,65
2022-02-07,S002,P0009,547,121,0,62.91,0,0,71.86,101
2024-01-17,S004,P0014,229,72,0,156.05,10,0,134.07,70
2024-01-04,S005,P0002,66,51,0,32.9,10,0,36.84,59
2023-09-20,S001,P0013,107,39,50,29.7,0,0,26.42,50
2023-07-17,S005,P0019,63,63,295,141.71,15,1,152.24,129
2023-02-06,S003,P0001,91,60,107,14.42,5,0,12.28,52
2023-03-01,S003,P0014,418,111,361,88.36,20,1,82.0,129
2022-05-16,S001,P0012,205,74,143,70.9,10,0,69.77,69
2023-06-23,S003,P0008,234,71,0,95.16,15,1,86.05,71
2022-07-18,S002,P0017,133,4,0,11.58,25,1,10.68,5
2023-11-29,S001,P0012,379,129,0,93.47,0,0,109.84,137
2022-12-24,S001,P0019,74,46,60,93.77,10,0,100.95,53
2023-02-22,S004,P0010,565,31,0,22.52,0,0,20.19,45
2023-11-01,S001,P0011,242,45,0,149.25,0,0,138.02,39
2023-07-13,S004,P0019,69,69,113,58.63,5,0,66.55,104
2023-08-18,S002,P0006,148,111,122,60.99,10,1,66.73,105
2023-06-12,S005,P0018,119,67,94,19.54,10,1,20.64,94
2023-02-04,S002,P0009,508,116,0,57.67,10,1,62.37,106
2023-05-05,S002,P0003,337,76,281,69.27,20,1,65.47,103
2023-09-28,S003,P0015,232,142,0,83.76,20,1,100.16,118
2022-04-12,S004,P0019,65,65,152,55.41,20,1,61.82,142
2023-10-16,S004,P0009,236,44,0,95.42,5,0,92.98,43
2022-11-22,S002,P0007,363,191,555,27.22,25,1,28.65,177
2023-11-27,S004,P0019,155,155,122,59.87,20,1,57.21,151
2023-01-26,S002,P0015,372,69,0,75.4,0,0,68.32,109
2023-08-13,S001,P0004,363,74,0,107.0,5,0,129.07,108
2023-06-04,S003,P0004,298,189,0,22.95,25,1,22.63,176
2023-07-07,S004,P0020,159,54,142,128.29,5,0,114.97,69
2023-05-31,S001,P0007,429,61,0,22.27,5,0,19.51,67
2023-03-09,S003,P0016,221,113,302,108.22,15,1,103.81,157
2023-12-28,S004,P0016,120,17,0,102.99,0,0,96.89,27
2022-05-02,S005,P0007,292,114,0,74.4,10,1,84.41,100
2022-07-23,S001,P0007,180,92,0,24.84,0,0,29.02,98
2023-02-10,S001,P0005,160,90,0,56.83,15,1,65.76,137
2023-04-27,S001,P0008,53,53,96,42.84,0,0,50.0,81
2022-02-27,S004,P0011,248,131,0,65.77,0,0,76.7,126
2023-04-19,S004,P0016,106,17,0,98.42,0,0,103.77,28
2023-06-24,S004,P0002,47,47,0,19.24,0,0,22.92,82
2023-04-19,S002,P0009,222,95,161,58.27,5,0,70.11,93
2023-01-23,S001,P0017,130,53,0,17.55,25,1,16.72,88
2022-09-05,S001,P0019,99,12,0,85.36,5,0,91.07,18
2022-05-26,S001,P0012,87,87,213,80.22,10,1,74.02,105
2023-08-02,S002,P0020,139,79,0,126.89,5,0,108.61,69
2022-10-19,S003,P0005,669,70,0,22.17,10,0,19.59,105
2023-07-08,S003,P0019,75,75,74,55.58,0,0,47.59,85
2023-11-29,S003,P0004,563,129,0,24.12,5,0,28.89,128
2022-02-19,S005,P0018,150,116,151,25.03,5,0,28.99,158
2023-02-07,S003,P0019,78,74,62,48.33,10,0,44.01,75
2022-06-17,S005,P0010,975,140,0,70.49,5,0,64.64,152
2023-08-26,S002,P0003,491,130,0,81.83,10,0,97.42,135
2022-12-21,S005,P0002,460,89,0,40.71,0,0,39.58,75
2023-03-01,S005,P0002,199,119,349,31.84,25,1,34.11,102
2022-04-19,S005,P0017,86,86,152,40.02,10,0,36.52,132
2023-07-07,S005,P0010,806,201,0,79.3,0,0,86.7,197
2023-08-02,S005,P0015,289,154,358,70.82,5,0,66.66,223
2023-08-28,S005,P0013,547,103,0,85.68,5,0,80.45,144
2022-01-08,S002,P0016,321,112,409,98.35,15,1,104.4,187
2022-08-29,S001,P0008,36,36,52,36.18,5,0,41.54,50
2023-11-03,S001,P0012,406,74,0,75.31,15,1,73.29,103
2023-07-26,S003,P0019,193,169,193,63.76,10,0,71.16,184
2022-06-16,S002,P0016,63,63,0,80.88,10,1,92.31,100
2023-06-01,S004,P0014,338,9,0,113.91,15,1,107.94,7
2022-07-27,S005,P0012,150,122,0,121.55,15,1,130.8,104
2023-12-30,S005,P0001,181,31,0,9.58,5,0,8.51,37
2023-04-26,S001,P0014,365,68,0,65.2,5,0,59.21,66
2023-05-11,S001,P0001,253,53,0,58.32,10,0,50.3,52
2022-03-15,S001,P0002,123,109,107,54.89,25,1,53.07,115
2023-08-08,S004,P0017,124,78,89,101.82,0,0,119.82,109
2022-02-07,S004,P0008,152,38,0,69.28,25,1,62.57,44
2023-02-28,S004,P0006,130,58,140,33.2,5,0,37.55,85
2023-02-26,S002,P0006,70,50,51,56.6,0,0,62.44,54
2024-01-02,S003,P0019,154,33,0,44.91,0,0,40.74,29
2022-07-10,S002,P0003,304,79,0,57.59,25,1,65.4,82
2022-03-25,S002,P0009,231,53,0,42.7,20,1,45.23,54
2022-01-26,S002,P0020,596,79,0,116.66,10,0,134.74,74
2023-12-21,S002,P0008,89,89,137,25.33,10,0,27.9,126
2022-01-19,S004,P0001,733,45,0,9.26,0,0,11.09,48
2023-03-18,S005,P0006,830,144,0,56.32,25,1,64.42,177
2023-01-29,S001,P0014,417,20,0,57.52,5,0,52.75,34
2023-07-19,S003,P0001,169,150,224,17.59,10,0,16.36,126
2022-07-14,S004,P0008,103,20,0,80.8,0,0,94.11,24
2022-06-25,S003,P0002,623,131,0,63.43,5,0,70.37,154
2022-12-04,S004,P0011,619,104,0,59.35,10,0,69.48,127
2023-08-20,S001,P0020,211,64,0,114.85,5,0,100.06,64
2023-06-14,S003,P0005,116,101,0,20.38,10,1,24.64,95
2022-05-05,S002,P0005,357,62,264,81.99,5,0,87.48,75
2023-11-06,S001,P0015,109,65,94,14.94,5,0,17.18,89
2022-02-24,S003,P0006,143,41,0,27.91,20,1,27.05,49
2022-03-13,S005,P0018,140,81,0,21.59,5,0,21.09,92
2022-04-27,S005,P0004,113,72,71,7.14,0,0,8.59,76
2022-11-15,S005,P0019,246,52,0,118.59,10,1,115.42,46
2023-06-07,S002,P0009,193,86,0,66.36,0,0,62.45,101
2023-11-11,S005,P0002,421,156,0,39.49,15,1,45.69,131
2023-06-08,S005,P0011,501,87,474,88.05,5,0,86.26,123
2023-09-01,S004,P0001,74,74,0,14.02,5,0,12.74,178
2022-04-25,S005,P0002,433,63,0,36.39,0,0,39.9,58
2022-01-01,S001,P0016,103,78,372,38.79,10,0,35.14,115
2024-01-16,S002,P0002,178,130,0,32.98,10,1,39.36,127
2022-10-14,S003,P0004,800,67,0,19.99,5,0,23.57,71
2022-12-30,S001,P0015,80,80,90,16.85,5,0,16.12,110
2022-09-19,S002,P0002,314,89,232,33.79,5,0,40.31,117
2022-10-16,S003,P0008,162,95,0,99.08,10,0,113.61,81
2023-08-03,S004,P0018,156,127,105,175.84,10,0,163.69,116
2022-02-23,S005,P0001,172,109,0,10.73,20,1,9.31,116
2022-01-10,S001,P0011,89,89,188,171.1,0,0,206.83,90
2023-01-06,S002,P0003,154,154,462,97.0,10,1,84.08,178
2023-10-31,S002,P0007,494,65,0,24.04,10,0,26.36,76
2023-01-10,S004,P0011,825,70,0,58.85,0,0,68.5,91
2023-02-24,S005,P0001,375,72,0,10.33,20,1,8.89,104
2022-02-10,S003,P0007,546,123,0,18.57,0,0,17.57,123
2023-11-02,S005,P0016,553,120,0,35.38,10,0,33.86,115
2022-06-10,S003,P0005,1004,92,0,23.84,0,0,22.28,95
2022-04-28,S002,P0017,637,17,0,14.32,10,0,17.1,23
2022-08-03,S002,P0009,264,67,0,51.13,5,0,54.39,57
2022-09-08,S005,P0003,133,101,111,24.4,25,1,23.09,101
2023-04-16,S003,P0018,405,67,0,121.72,10,1,107.9,62
2023-06-27,S001,P0005,308,99,0,59.69,0,0,65.54,100
2022-04-13,S001,P0020,442,28,0,89.86,10,0,94.85,29
2023-04-20,S005,P0013,305,143,441,66.18,25,1,57.94,136
2022-08-14,S003,P0012,117,117,252,99.1,15,1,91.1,108
2022-09-08,S003,P0005,1239,65,0,21.9,10,0,21.63,101
2022-11-25,S002,P0015,407,73,0,68.48,5,0,63.53,95
2022-10-26,S004,P0018,85,29,50,138.17,10,0,135.83,47
2022-05-16,S004,P0008,59,51,56,89.18,0,0,96.75,48
2023-01-22,S003,P0014,617,43,0,83.9,0,0,72.91,49
2023-05-22,S004,P0014,85,57,0,155.39,10,0,151.99,68
2022-12-18,S003,P0001,272,79,0,12.92,25,1,11.09,87
2022-06-22,S003,P0008,199,64,169,108.74,10,1,101.82,93
2023-07-22,S003,P0003,137,73,69,75.36,10,1,81.31,76
2023-02-15,S002,P0005,437,62,0,73.75,15,1,69.27,62
2023-10-21,S004,P0016,213,24,0,91.11,10,0,108.84,35
2022-12-20,S004,P0001,525,95,456,9.9,20,1,11.44,133
2023-10-02,S001,P0020,316,50,0,105.42,10,0,102.4,56
2022-09-30,S001,P0016,28,28,0,39.8,5,0,46.55,122
2022-10-26,S001,P0006,0,0,0,38.87,20,1,46.61,150
2023-10-27,S001,P0001,288,145,259,78.95,10,0,74.73,143
2024-01-21,S001,P0010,495,44,0,100.46,20,1,109.43,69
2023-10-12,S002,P0020,315,33,0,109.56,0,0,132.01,31
2023-10-17,S002,P0018,75,75,121,30.28,5,0,28.94,122
2023-12-27,S001,P0007,269,9,0,19.0,0,0,17.69,15
2022-12-06,S002,P0018,132,100,113,26.38,10,0,26.26,96
2023-03-28,S003,P0012,149,74,0,91.4,5,0,99.82,67
2022-12-28,S001,P0015,147,81,84,15.15,10,1,13.53,94
2023-04-06,S003,P0002,559,55,0,40.99,25,1,38.56,75
2023-11-20,S002,P0006,120,104,155,72.55,10,0,78.57,164
2023-02-26,S004,P0016,88,41,0,101.12,5,0,99.35,34
2022-01-19,S001,P0008,146,100,103,43.43,15,1,42.53,119
2022-10-22,S001,P0006,96,86,0,34.81,25,1,32.75,117
2022-01-14,S005,P0017,141,61,70,34.88,5,0,31.56,73
2022-08-26,S005,P0018,164,90,0,22.94,0,0,21.93,95
2023-10-03,S005,P0012,901,48,0,90.03,25,1,100.07,54
2024-01-05,S003,P0004,382,70,0,22.93,5,0,21.65,96
2022-03-01,S003,P0009,78,78,74,49.05,0,0,57.09,69
2023-10-07,S002,P0012,608,17,0,53.22,0,0,56.44,27
2023-12-28,S002,P0009,505,46,0,52.74,10,0,50.4,66
2022-06-14,S002,P0015,576,76,0,75.2,0,0,65.95,108
2022-10-21,S004,P0002,219,45,0,18.05,5,0,15.59,64
2022-06-03,S003,P0002,19,19,515,54.02,25,1,58.21,183
2022-08-24,S002,P0005,476,108,423,99.55,0,0,98.59,102
2023-09-17,S003,P0015,338,147,505,99.19,10,0,110.25,135
2022-10-21,S001,P0012,245,50,0,70.27,5,0,63.14,52
2023-07-11,S003,P0009,149,133,191,74.04,0,0,73.48,188
2023-10-27,S001,P0017,98,98,129,26.3,0,0,24.76,124
2022-11-05,S004,P0003,378,58,0,100.81,25,1,115.38,64
2022-12-15,S002,P0017,583,68,0,20.13,0,0,21.99,83
2023-05-13,S003,P0013,173,110,0,53.78,25,1,63.82,93
2022-02-23,S004,P0010,726,111,0,25.29,10,0,27.64,123
2023-07-21,S005,P0017,83,83,107,36.0,15,1,41.74,133
2023-11-17,S002,P0002,455,36,0,27.06,10,0,25.95,54
2022-08-12,S003,P0020,427,53,0,63.23,0,0,67.89,51
2022-04-22,S003,P0005,829,111,0,25.03,10,1,22.38,145
2023-03-21,S001,P0003,989,135,0,59.65,10,0,63.33,156
2023-11-30,S001,P0008,63,63,114,45.08,10,0,40.86,113
2023-05-05,S002,P0012,411,40,0,55.47,10,1,63.69,64
2023-06-01,S001,P0013,142,97,93,26.99,20,1,23.76,84
2023-09-24,S002,P0010,142,142,147,89.63,10,0,105.25,135
2022-03-21,S004,P0018,129,68,71,161.3,5,0,174.21,89
2022-07-05,S004,P0003,250,38,190,112.07,20,1,105.56,61
2023-04-18,S003,P0011,318,63,0,88.21,25,1,95.47,80
2023-10-13,S002,P0002,341,13,0,22.72,10,0,20.33,12
2023-03-07,S004,P0001,472,78,0,12.25,0,0,10.76,113
2023-10-28,S001,P0001,143,117,0,80.26,0,0,74.6,114
2022-02-13,S001,P0018,144,88,98,63.28,0,0,58.43,95
2023-10-04,S001,P0014,586,96,0,66.38,5,0,70.14,86
2022-10-14,S004,P0001,776,135,0,10.64,15,1,11.84,137
2022-09-17,S004,P0009,360,118,487,104.82,25,1,124.03,159
2023-09-04,S001,P0019,77,77,83,103.08,20,1,90.72,98
2023-10-20,S002,P0009,282,52,0,48.87,5,0,55.32,45
2022-10-16,S003,P0018,254,48,0,128.21,0,0,149.4,61
2023-07-30,S004,P0014,242,100,0,164.91,10,0,187.08,100
2022-09-19,S001,P0012,126,68,0,78.21,5,0,72.95,81
2022-02-04,S001,P0012,274,130,277,87.21,10,1,93.29,150
2022-06-04,S001,P0004,540,120,0,110.99,0,0,122.05,103
2022-02-27,S002,P0018,114,114,89,27.21,10,0,25.55,105
2022-08-28,S002,P0004,294,92,0,44.32,0,0,48.12,113
2022-01-15,S003,P0020,1398,110,0,67.52,15,1,61.25,100
2022-10-30,S003,P0008,231,89,0,109.72,0,0,125.45,80
2022-12-02,S003,P0007,501,128,672,20.63,0,0,24.57,179
2023-01-31,S003,P0013,296,83,0,62.48,10,0,75.59,84
2023-01-19,S002,P0013,85,85,0,20.05,10,1,21.55,99
2022-02-01,S002,P0016,445,169,0,98.45,15,1,97.62,168
2023-08-19,S004,P0004,177,176,0,65.35,15,1,57.02,207
2023-08-27,S004,P0007,841,95,0,32.33,10,1,29.15,155
2023-04-02,S004,P0010,774,111,0,26.15,10,1,30.56,134
2023-10-06,S004,P0020,62,62,244,145.6,15,1,125.7,142
2022-03-24,S005,P0004,203,141,153,8.72,10,0,7.63,157
2022-01-12,S004,P0005,260,43,0,61.35,10,0,53.61,62
2022-06-23,S005,P0016,181,130,0,29.83,25,1,26.35,119
2023-02-22,S003,P0013,437,34,0,61.23,0,0,53.25,37
2023-04-19,S005,P0020,84,28,50,22.28,10,0,19.79,23
2023-10-21,S005,P0017,93,25,50,30.87,0,0,29.02,29
2024-01-29,S005,P0017,137,122,122,44.56,0,0,40.42,132
2023-04-22,S001,P0020,145,38,0,93.06,10,0,100.83,38
2022-02-01,S004,P0020,94,46,0,118.86,5,0,112.58,48
2022-11-14,S004,P0016,186,94,0,129.47,10,0,119.49,119
2023-12-15,S001,P0017,117,94,116,18.0,25,1,19.05,111
2022-12-14,S004,P0013,442,82,0,21.58,0,0,26.12,113
2023-01-02,S003,P0015,493,78,0,93.3,0,0,88.98,69
2023-05-23,S002,P0020,423,53,0,106.06,10,0,126.92,49
2023-05-28,S004,P0007,86,86,0,31.18,10,1,29.2,142
2022-04-04,S001,P0003,948,143,0,47.03,25,1,55.48,137
2022-10-29,S005,P0012,849,67,0,114.38,10,0,128.13,70
2022-11-02,S005,P0012,613,38,0,121.33,5,0,104.9,57
2023-11-12,S005,P0017,89,76,69,31.19,10,0,35.84,71
2022-12-22,S002,P0020,300,57,0,122.0,10,0,133.21,87
2023-06-10,S001,P0003,375,149,0,63.85,0,0,62.75,126
2023-08-15,S005,P0016,323,104,346,39.98,5,0,39.2,137
2023-09-05,S001,P0018,189,130,139,69.12,10,0,64.94,159
2023-12-11,S005,P0005,188,57,0,14.92,0,0,13.74,58
